areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021/4/14,6,127191
overview,United Kingdom,K02000001,2021/4/13,11,127185
overview,United Kingdom,K02000001,2021/4/12,22,127174
overview,United Kingdom,K02000001,2021/4/11,17,127152
overview,United Kingdom,K02000001,2021/4/10,22,127135
overview,United Kingdom,K02000001,2021/4/9,22,127113
overview,United Kingdom,K02000001,2021/4/8,28,127091
overview,United Kingdom,K02000001,2021/4/7,22,127063
overview,United Kingdom,K02000001,2021/4/6,23,127041
overview,United Kingdom,K02000001,2021/4/5,17,127018
overview,United Kingdom,K02000001,2021/4/4,24,127001
overview,United Kingdom,K02000001,2021/4/3,28,126977
overview,United Kingdom,K02000001,2021/4/2,27,126949
overview,United Kingdom,K02000001,2021/4/1,28,126922
overview,United Kingdom,K02000001,2021/3/31,37,126894
overview,United Kingdom,K02000001,2021/3/30,40,126857
overview,United Kingdom,K02000001,2021/3/29,34,126817
overview,United Kingdom,K02000001,2021/3/28,32,126783
overview,United Kingdom,K02000001,2021/3/27,35,126751
overview,United Kingdom,K02000001,2021/3/26,48,126716
overview,United Kingdom,K02000001,2021/3/25,45,126668
overview,United Kingdom,K02000001,2021/3/24,38,126623
overview,United Kingdom,K02000001,2021/3/23,50,126585
overview,United Kingdom,K02000001,2021/3/22,63,126535
overview,United Kingdom,K02000001,2021/3/21,78,126472
overview,United Kingdom,K02000001,2021/3/20,66,126394
overview,United Kingdom,K02000001,2021/3/19,67,126328
overview,United Kingdom,K02000001,2021/3/18,60,126261
overview,United Kingdom,K02000001,2021/3/17,78,126201
overview,United Kingdom,K02000001,2021/3/16,78,126123
overview,United Kingdom,K02000001,2021/3/15,91,126045
overview,United Kingdom,K02000001,2021/3/14,94,125954
overview,United Kingdom,K02000001,2021/3/13,103,125860
overview,United Kingdom,K02000001,2021/3/12,93,125757
overview,United Kingdom,K02000001,2021/3/11,118,125664
overview,United Kingdom,K02000001,2021/3/10,115,125546
overview,United Kingdom,K02000001,2021/3/9,135,125431
overview,United Kingdom,K02000001,2021/3/8,143,125296
overview,United Kingdom,K02000001,2021/3/7,130,125153
overview,United Kingdom,K02000001,2021/3/6,153,125023
overview,United Kingdom,K02000001,2021/3/5,168,124870
overview,United Kingdom,K02000001,2021/3/4,156,124702
overview,United Kingdom,K02000001,2021/3/3,145,124546
overview,United Kingdom,K02000001,2021/3/2,181,124401
overview,United Kingdom,K02000001,2021/3/1,224,124220
overview,United Kingdom,K02000001,2021/2/28,212,123996
overview,United Kingdom,K02000001,2021/2/27,226,123784
overview,United Kingdom,K02000001,2021/2/26,225,123558
overview,United Kingdom,K02000001,2021/2/25,259,123333
overview,United Kingdom,K02000001,2021/2/24,270,123074
overview,United Kingdom,K02000001,2021/2/23,282,122804
overview,United Kingdom,K02000001,2021/2/22,284,122522
overview,United Kingdom,K02000001,2021/2/21,324,122238
overview,United Kingdom,K02000001,2021/2/20,345,121914
overview,United Kingdom,K02000001,2021/2/19,379,121569
overview,United Kingdom,K02000001,2021/2/18,417,121190
overview,United Kingdom,K02000001,2021/2/17,427,120773
overview,United Kingdom,K02000001,2021/2/16,445,120346
